"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Making Transaction","1","0","Customer perform transactions","0"
"0","","0","Bank Manager Actions","1","0","Bank Manager Add and Delete Multiple Customers","0"
